URI,雑誌タイトル,マンガタイトル,各話タイトル,作者名,開始ページ,終了ページ,雑誌巻号名,ページ数,出版日,価格
https://mediaarts-db.bunka.go.jp/id/M602300,なかよし,時計じかけのエトランゼ,新連載,あゆみゆい,101,133,なかよし 1990年 表示号数1,432,1990-01-01,320
https://mediaarts-db.bunka.go.jp/id/M602300,なかよし,きんぎょ注意報！,連載第11回,猫部ねこ,13,48,なかよし 1990年 表示号数1,432,1990-01-01,320
https://mediaarts-db.bunka.go.jp/id/M602300,なかよし,ま・り・あ,連載第2回,武内直子,135,165,なかよし 1990年 表示号数1,432,1990-01-01,320
https://mediaarts-db.bunka.go.jp/id/M602300,なかよし,おもちゃ箱革命,連載第21回,八木ちあき,167,205,なかよし 1990年 表示号数1,432,1990-01-01,320
https://mediaarts-db.bunka.go.jp/id/M602300,なかよし,すくらんぶる同盟,れんさい第19回,松本洋子,207,243,なかよし 1990年 表示号数1,432,1990-01-01,320
https://mediaarts-db.bunka.go.jp/id/M602300,なかよし,まかせてポン！,こたつ　／　肩こり　／　親子ね　／　お年玉　／　おモチ　／　竹馬　／　たこあげ,あなだ〔スペード〕もあ,246,249,なかよし 1990年 表示号数1,432,1990-01-01,320
https://mediaarts-db.bunka.go.jp/id/M602300,なかよし,月下美人,れんさい第4回,ひうらさとる,251,282,なかよし 1990年 表示号数1,432,1990-01-01,320
https://mediaarts-db.bunka.go.jp/id/M602300,なかよし,Pなつ通り,連載第15回,秋元奈美,283,321,なかよし 1990年 表示号数1,432,1990-01-01,320
https://mediaarts-db.bunka.go.jp/id/M602300,なかよし,わんころべえ,あいさつ　／　しんせつ　／　縁日　／　日記　／　目標　／　でぞめしき　／　おせち料理,あべゆりこ,322,325,なかよし 1990年 表示号数1,432,1990-01-01,320
https://mediaarts-db.bunka.go.jp/id/M602300,なかよし,六華のささやき,連載第3回,福原ふみよ,333,369,なかよし 1990年 表示号数1,432,1990-01-01,320
https://mediaarts-db.bunka.go.jp/id/M602300,なかよし,レモンの休日,れんさい第5回,竹田真理子,373,407,なかよし 1990年 表示号数1,432,1990-01-01,320
https://mediaarts-db.bunka.go.jp/id/M602300,なかよし,アイ?BOY,連載第17回,あさぎり夕,49,94,なかよし 1990年 表示号数1,432,1990-01-01,320
https://mediaarts-db.bunka.go.jp/id/M602300,なかよし,きうぴーさん,うるわしのこじまたつおは・・・の巻,平園マリ香,95,99,なかよし 1990年 表示号数1,432,1990-01-01,320
https://mediaarts-db.bunka.go.jp/id/M597530,りぼん,マリンブルーの風に抱かれて,第5回,矢沢あい,105,145,りぼん 1990年 表示号数1,466,1990-01-01,390
https://mediaarts-db.bunka.go.jp/id/M597530,りぼん,てこてこはこべ,ジョギング　／　水に流す　／　好き嫌い　／　忘れ物,沢田とろ,146,147,りぼん 1990年 表示号数1,466,1990-01-01,390
https://mediaarts-db.bunka.go.jp/id/M597530,りぼん,マインド・ゲーム,第1回,椎名あゆみ,149,188,りぼん 1990年 表示号数1,466,1990-01-01,390
https://mediaarts-db.bunka.go.jp/id/M597530,りぼん,ちびまる子ちゃん,その40　まるちゃん年賀状をかく　の巻,さくらももこ,228,245,りぼん 1990年 表示号数1,466,1990-01-01,390
https://mediaarts-db.bunka.go.jp/id/M597530,りぼん,ハンサムな彼女,第15回,吉住渉,249,288,りぼん 1990年 表示号数1,466,1990-01-01,390
https://mediaarts-db.bunka.go.jp/id/M597530,りぼん,こいつら100％伝説,第9回,岡田あーみん,328,340,りぼん 1990年 表示号数1,466,1990-01-01,390
https://mediaarts-db.bunka.go.jp/id/M597530,りぼん,チャイム,第10回,水沢めぐみ,349,387,りぼん 1990年 表示号数1,466,1990-01-01,390
https://mediaarts-db.bunka.go.jp/id/M597530,りぼん,どれみふぁドレミ,第29回　神様からのお年玉,赤座ひではる,390,398,りぼん 1990年 表示号数1,466,1990-01-01,390
https://mediaarts-db.bunka.go.jp/id/M597530,りぼん,たんぽぽたん,雪ウサギ　／　童話の本　／　ワタシの夢は・・・　／　ワタシはシンデレラ,ところはつえ,62,63,りぼん 1990年 表示号数1,466,1990-01-01,390
https://mediaarts-db.bunka.go.jp/id/M597530,りぼん,ときめきトゥナイト2,第24回,池野恋,65,103,りぼん 1990年 表示号数1,466,1990-01-01,390
https://mediaarts-db.bunka.go.jp/id/M602299,なかよし,アイ?BOY,連載第18回,あさぎり夕,11,51,なかよし 1990年 表示号数2,448,1990-02-01,390
https://mediaarts-db.bunka.go.jp/id/M602299,なかよし,時計じかけのエトランゼ,連載第2回,あゆみゆい,133,163,なかよし 1990年 表示号数2,448,1990-02-01,390
https://mediaarts-db.bunka.go.jp/id/M602299,なかよし,オレンジポケット,新れんさい,高瀬綾,165,200,なかよし 1990年 表示号数2,448,1990-02-01,390
https://mediaarts-db.bunka.go.jp/id/M602299,なかよし,Pなつ通り,連載第16回,秋元奈美,201,237,なかよし 1990年 表示号数2,448,1990-02-01,390
https://mediaarts-db.bunka.go.jp/id/M602299,なかよし,わんころべえ,豆　／　めざまし　／　テレビ出演　／　つらら　／　バレンタインデー　／　かまくら　／　お客さま,あべゆりこ,238,241,なかよし 1990年 表示号数2,448,1990-02-01,390
https://mediaarts-db.bunka.go.jp/id/M602299,なかよし,すくらんぶる同盟,れんさい第20回,松本洋子,249,280,なかよし 1990年 表示号数2,448,1990-02-01,390
https://mediaarts-db.bunka.go.jp/id/M602299,なかよし,おもちゃ箱革命,連載第22回！,八木ちあき,281,313,なかよし 1990年 表示号数2,448,1990-02-01,390
https://mediaarts-db.bunka.go.jp/id/M602299,なかよし,レモンの休日,最終回,竹田真理子,315,350,なかよし 1990年 表示号数2,448,1990-02-01,390
https://mediaarts-db.bunka.go.jp/id/M602299,なかよし,まかせてポン！,豆まき　／　雪の日　／　雪だるま　／　スキー　／　おつかい　／　スケート　／　春がきた？　,あなだ〔スペード〕もあ,352,355,なかよし 1990年 表示号数2,448,1990-02-01,390
https://mediaarts-db.bunka.go.jp/id/M602299,なかよし,月下美人,れんさい第5回,ひうらさとる,363,395,なかよし 1990年 表示号数2,448,1990-02-01,390
https://mediaarts-db.bunka.go.jp/id/M602299,なかよし,六華のささやき,最終回,福原ふみよ,397,427,なかよし 1990年 表示号数2,448,1990-02-01,390
https://mediaarts-db.bunka.go.jp/id/M602299,なかよし,きうぴーさん,アイツの?をとりかえせ　その1,平園マリ香,53,57,なかよし 1990年 表示号数2,448,1990-02-01,390
https://mediaarts-db.bunka.go.jp/id/M602299,なかよし,ま・り・あ,第3回,武内直子,63,95,なかよし 1990年 表示号数2,448,1990-02-01,390
https://mediaarts-db.bunka.go.jp/id/M602299,なかよし,きんぎょ注意報！,第12回,猫部ねこ,97,130,なかよし 1990年 表示号数2,448,1990-02-01,390
https://mediaarts-db.bunka.go.jp/id/M597529,りぼん,ちびまる子ちゃん,その41・まるちゃん学校でお腹いたくなるの巻,さくらももこ,149,166,りぼん 1990年 表示号数2,452,1990-02-01,390
https://mediaarts-db.bunka.go.jp/id/M597529,りぼん,ときめきトゥナイト2,第25回,池野恋,167,206,りぼん 1990年 表示号数2,452,1990-02-01,390
https://mediaarts-db.bunka.go.jp/id/M597529,りぼん,チャイム,第11回,水沢めぐみ,207,244,りぼん 1990年 表示号数2,452,1990-02-01,390
https://mediaarts-db.bunka.go.jp/id/M597529,りぼん,マインド・ゲーム,第2回,椎名あゆみ,251,289,りぼん 1990年 表示号数2,452,1990-02-01,390
https://mediaarts-db.bunka.go.jp/id/M597529,りぼん,マリンブルーの風に抱かれて,第6回,矢沢あい,291,329,りぼん 1990年 表示号数2,452,1990-02-01,390
https://mediaarts-db.bunka.go.jp/id/M597529,りぼん,有閑倶楽部,茅台　炎の復讐の巻,一条ゆかり,333,379,りぼん 1990年 表示号数2,452,1990-02-01,390
https://mediaarts-db.bunka.go.jp/id/M597529,りぼん,新鋭読みきりシリーズ,第1弾　えりかと砂糖の星,楓野みかる,385,429,りぼん 1990年 表示号数2,452,1990-02-01,390
https://mediaarts-db.bunka.go.jp/id/M597529,りぼん,どれみふぁドレミ,第30回　雪の1日,赤座ひではる,56,63,りぼん 1990年 表示号数2,452,1990-02-01,390
https://mediaarts-db.bunka.go.jp/id/M597529,りぼん,ハンサムな彼女,第16回　,吉住渉,65,104,りぼん 1990年 表示号数2,452,1990-02-01,390
https://mediaarts-db.bunka.go.jp/id/M602298,なかよし,きんぎょ注意報！,ハチャメチャ連載第13回,猫部ねこ,11,45,なかよし 1990年 表示号数3,430,1990-03-01,390
https://mediaarts-db.bunka.go.jp/id/M602298,なかよし,わんころべえ,特別ゲスト　／　毛皮　／　なかよし　／　おにぎり　／　1輪車　／　研究　／　ときめき,あべゆりこ,140,143,なかよし 1990年 表示号数3,430,1990-03-01,390
https://mediaarts-db.bunka.go.jp/id/M602298,なかよし,おもちゃ箱革命,連載第23回,八木ちあき,149,184,なかよし 1990年 表示号数3,430,1990-03-01,390
https://mediaarts-db.bunka.go.jp/id/M602298,なかよし,オレンジポケット,れんさい第2回,高瀬綾,185,215,なかよし 1990年 表示号数3,430,1990-03-01,390
https://mediaarts-db.bunka.go.jp/id/M602298,なかよし,ま・り・あ,第4回,武内直子,217,247,なかよし 1990年 表示号数3,430,1990-03-01,390
https://mediaarts-db.bunka.go.jp/id/M602298,なかよし,すくらんぶる同盟,れんさい第21回,松本洋子,249,285,なかよし 1990年 表示号数3,430,1990-03-01,390
https://mediaarts-db.bunka.go.jp/id/M602298,なかよし,きうぴーさん,アイツの?をとりかえせ　その2,平園マリ香,289,293,なかよし 1990年 表示号数3,430,1990-03-01,390
https://mediaarts-db.bunka.go.jp/id/M602298,なかよし,時計じかけのエトランゼ,連載第3回,あゆみゆい,299,329,なかよし 1990年 表示号数3,430,1990-03-01,390
https://mediaarts-db.bunka.go.jp/id/M602298,なかよし,Pなつ通り,最終回,秋元奈美,331,369,なかよし 1990年 表示号数3,430,1990-03-01,390
